Station,Coordinates,Link
0305 Georgia & Homer,"(49.2809374, -123.1153534)",https://maps.app.goo.gl/GjHzJQsnfq4pEdfj7
0308 Seymour & Cordova,"(49.28642858047458, -123.11229368733197)",https://maps.app.goo.gl/U5HdaEEVBMeCrLnr5
0310 Jervis & Robson,"(49.2868529, -123.1289011)",https://maps.app.goo.gl/xGjRqidcAzd9imRa6
0311 13th & Cambie,"(49.2595423, -123.114742)",https://maps.app.goo.gl/WtEHR6XaVWrzvYSB9
0313 Nelson & Denman,"(49.289354331375506, -123.13841277397488)",https://maps.app.goo.gl/HenqKnmuuPWUd9eY9
0314 Rolston & Granville,"(49.27462211868453, -123.13027982879254)",https://maps.app.goo.gl/7dK2vmtnA4pWtPoN6
0315 1st & Fir,"(49.271756811418996, -123.14194708517161)",https://maps.app.goo.gl/LW29FwEUURyV1Ken8
0352 Commercial & 20th,"(49.252656, -123.067972)",https://maps.app.goo.gl/pjueNGuuzQC8rMhc7
0354 Station & Terminal,"(49.272223, -123.097988)",https://maps.app.goo.gl/KpaEC269WRSdPDgC6
0400 Jericho Beach,"(49.27125697998983, -123.19152237543645)",https://maps.app.goo.gl/B1J5By7R83asYc7D9
0401 Wallace & 4th,"(49.2685318, -123.190208)",https://maps.app.goo.gl/hrZW9C28gtp8ZTxN9
0403 Highbury & 8th,"(49.26563100226765, -123.18782373310832)",https://maps.app.goo.gl/UvL3NoXfn1gRMhDq5
0410 Alma & Point Grey,"(49.2648033, -123.1858536)",https://maps.app.goo.gl/vLbURJx9iazVEuSQA
0414 Dunbar & 6th,"(49.26679064939855, -123.18367399475082)",https://maps.app.goo.gl/V5gTiBGhH5H1PadX7
0415 Dunbar & Broadway,"(49.2647183187402, -123.18368472358655)",https://maps.app.goo.gl/LJ1wZgGfLxGjG5dY6
0431 Blenheim & 4th,"(49.269005877089526, -123.1777075368086)",https://maps.app.goo.gl/Ue9shtBgmTnQX92k8
0440 Point Grey & Blenheim,"(49.271561050263074, -123.17734275639324)",https://maps.app.goo.gl/rNbtcbEAEBDMg5wp7
0443 Balaclava & 6th,"(49.26702898542659, -123.17387046009372)",https://maps.app.goo.gl/jMNW8dnnoaD8rNDe6
0444 Balaclava & Broadway,"(49.2640934, -123.173552)",https://maps.app.goo.gl/NZoAdqiDN7anwUck6
0450 Point Grey & Bayswater,"(49.27118400713191, -123.17067709339292)",https://maps.app.goo.gl/Btk11oLh223jbQfr7
0452 8th & Macdonald,"(49.2651100317576, -123.16808409339292)",https://maps.app.goo.gl/rZRXS2UZ4yUEzTwt9
0460 Trafalgar & Cornwall,"(49.27308097263876, -123.16438937543627)",https://maps.app.goo.gl/2RDcyiHjP8K5GA2g7
0464 Trafalgar & Broadway,"(49.2639092, -123.164243)",https://maps.app.goo.gl/e5cAFEhxSbQkLhAG9
0470 Balsam & Cornwall,"(49.272569, -123.159366)",https://maps.app.goo.gl/zwBegzsxYxPwEG2f8
0480 Arbutus & Nanton,"(49.2479931, -123.153038)",https://maps.app.goo.gl/G5yHnyV2HXmHrD1t6
0482 East Blvd & 37th,"(49.238224056794316, -123.15498746009504)",https://maps.app.goo.gl/7hhdLiB1qiQEvf7H8
0484 Yew & Broadway,"(49.26367000115968, -123.15535283310847)",https://maps.app.goo.gl/bz1hE1CPXrvQBKTNA
0505 28th & Willow,"(49.24636906977219, -123.1243890933929)",https://maps.app.goo.gl/2rrRBnUuFQ8bZVGC9
0511 18th & Heather,"(49.25557080561342, -123.12047310381172)",https://maps.app.goo.gl/xDGCYsU1x3sw7cju5
0516 Heather & 29th,"(49.24615846509807, -123.1205160191547)",https://maps.app.goo.gl/e1Qf4H3ib5oDffGU8
0524 King Edward & Cambie,"(49.2492072, -123.1161507)",https://maps.app.goo.gl/VoqaQTqQL32gypjb9
